Month,Day,Lunar Month,Lunar Day,Pressure,Maximum temperature,Mean temperature,Minimum temperature,Dew Point Temperature,Relative Humidity,Amount of Cloud,Rainfall,Reduced visibility,Sunshine,Radiation,Evaporation,Wind Direction,Wind Speed
1,30,12,21,1020,19.9,17.6,16.2,15.5,88,80,-,6,3.3,10.61,2.9,50,21.2
1,31,12,22,1019.9,16.2,15.7,15.3,13.4,86,93,0.3,1,0.1,4.2,0.4,70,43.1
2,1,12,23,1022.2,15.6,12.4,10.7,11.2,93,96,11.3,0,-,2.39,1.2,20,31.9
2,2,12,24,1024.4,11.2,10.4,9.4,6.8,79,94,Trace,0,-,3.55,1.1,10,27.3
2,3,12,25,1023.6,14.3,12.5,10.3,8.6,77,88,Trace,1,0.3,8.48,1.7,40,21.3
2,4,12,26,1021.8,18.8,15.2,13.3,10.9,76,45,-,18,9.2,17.42,3,40,9.1
2,5,12,27,1021.2,18.6,14.8,12.3,8.4,66,18,-,5,10.1,19.06,5.9,20,24.4
2,6,12,28,1024.9,17.4,13.6,11.2,-0.3,39,13,-,0,10.2,20.26,3.9,20,44.7
2,7,12,29,1026.1,18.1,13.7,9.9,-1.7,36,2,-,0,10.2,21.46,6,20,20.5
2,8,1,1,1023.9,19.6,14.8,11.6,4.3,52,0,-,0,10.2,21.65,2.4,40,16.7
2,9,1,2,1020.8,21.2,16.7,12.7,7.2,54,29,-,0,10.2,20,4.7,40,17.2
2,10,1,3,1017.5,17.3,16.6,15.3,9.8,64,77,0.2,0,0.1,4.84,1.4,40,22
2,11,1,4,1014.9,22.4,18.8,17.2,16.4,86,80,Trace,8,2.4,11.52,2.1,40,15.8
2,12,1,5,1013.4,21.6,19.2,17.6,18.5,95,86,0.1,1,0.6,6.89,0.4,30,13.9
2,13,1,6,1012.5,25.9,23.1,21.3,21.1,89,76,-,0,3.5,10.58,1.5,200,10.2
2,14,1,7,1014.8,24.6,21.7,17.4,18.1,81,82,Trace,0,3.9,12.16,5.6,20,15.3
2,15,1,8,1024.3,17.5,13.2,11.4,6.6,64,88,0.3,0,-,3.9,2.5,20,33.5
2,16,1,9,1025.4,15.1,12.8,10.9,6,63,89,-,0,0.7,9.03,2.3,20,23.5
2,17,1,10,1024.1,14.4,12.9,11.6,8.9,77,91,1.7,0,-,2.9,0.5,20,19.2
2,18,1,11,1021.9,15,13.7,11.7,11.8,89,95,3.4,5,-,4.09,1.7,40,18.6
2,19,1,12,1020.3,16.3,15.3,14.6,13.3,88,94,4.4,7,-,1.54,0.8,40,22.2
2,20,1,13,1023.2,20.1,16,12.5,9.6,67,55,2.4,0,5.9,14.64,3.1,20,23.9
2,21,1,14,1022.2,15.9,15,14.7,11,77,82,Trace,11,-,3.33,1.4,70,44.7
2,22,1,15,1020.6,17.6,16.1,14.6,14.7,91,88,0.5,10,0.3,6.13,0.2,50,24.4
2,23,1,16,1022.3,16.7,15.5,13.7,14.3,92,88,0.5,1,-,2.59,1.7,20,19.3
2,24,1,17,1027.5,15.5,13.7,12.3,10,78,88,Trace,0,-,6.32,2.3,20,28
2,25,1,18,1028.9,16.8,14.8,13.5,10.5,76,87,-,0,0.1,6.58,1.2,20,20.4
2,26,1,19,1027.4,17.6,15.2,14,11.6,79,88,Trace,7,0.2,7.28,1.8,30,15.2
2,27,1,20,1024.7,17.5,15.5,13.8,11.7,79,79,Trace,5,5,15.89,3,20,9.1
2,28,1,21,1023.8,20.9,16.6,13.3,11.5,72,49,-,4,9.5,21.09,4,20,9.2
2,29,1,22,1024.4,24.8,18.5,14.4,10.1,61,19,-,7,10.7,23.04,5.3,40,16.9
3,1,1,23,1024.7,19.7,16.5,14.6,11.5,73,43,-,16,9.9,22.16,4.2,70,34.2
3,2,1,24,1023.8,20.6,16.6,14.4,11.4,72,32,-,2,10.6,23.18,4.2,60,27.1
3,3,1,25,1020.9,23.8,18.7,15.4,14,75,46,-,1,10,21.61,3.4,40,14.7
3,4,1,26,1018.1,23.2,20.2,18.1,16.9,82,71,-,1,3,12.93,3.8,40,15.4
3,5,1,27,1016.7,23.1,20.8,19.2,16.9,79,83,Trace,0,0.5,8.09,1.8,30,13.3
3,6,1,28,1015.8,25.9,21.8,19.2,18,79,72,-,0,7.6,17.17,3,220,6.6
3,7,1,29,1014.9,21.3,19.7,18.9,18.2,91,76,0.2,0,-,5.64,3,40,13.8
3,8,1,30,1012.5,21.5,20.1,18.9,18.9,93,88,-,4,0.3,6.48,1.6,40,15.3
3,9,2,1,1012.5,22.9,20.8,17.1,19.9,95,88,15.5,0,0.6,6.37,0.5,50,15.1
3,10,2,2,1019.5,17.2,13.4,10,12.2,93,93,16.8,0,-,1.96,1.5,20,39.7
3,11,2,3,1022.6,14.3,11.9,10,8,77,93,0.1,0,-,5.82,2.5,20,25
3,12,2,4,1017.7,14.5,13.6,12.7,11.4,87,100,0.1,3,-,2.63,2.1,50,36
3,13,2,5,1014.5,17,15.8,14.4,15.1,96,99,6.8,1,-,2.97,0.3,50,22.8
3,14,2,6,1018,16.5,15.3,14.2,12.4,83,89,0.8,1,1.1,5.69,1.9,20,26.7
3,15,2,7,1017.1,15.5,14.8,14,11.1,79,94,Trace,4,-,2.61,1.4,70,38
3,16,2,8,1015,16.3,15.3,14.1,13.6,90,100,1.1,9,-,2.97,0.9,60,33.2
3,17,2,9,1014.3,17.4,16.5,15.6,16,97,97,2.2,4,-,4.4,1.2,50,26.5
3,18,2,10,1012,21.9,19.5,17.2,19,97,92,Trace,0,0.1,4.8,1.4,30,13.1
3,19,2,11,1013,24.9,22.4,20.3,21.4,94,85,Trace,1,1.5,9.35,0.8,40,12.5
3,20,2,12,1014.7,23.1,19,17.6,17.4,91,96,0.3,10,-,4.65,1.5,50,28
3,21,2,13,1014.8,18.2,17.1,16.4,16.3,95,95,59.6,0,0.1,3.68,N.A.,60,38.3
3,22,2,14,1013.4,17.3,16.6,15.9,16,96,100,1.7,4,-,2.44,0.4,50,33.5
3,23,2,15,1012.8,20.6,18.4,17.1,18,97,95,8.7,0,0.6,3.9,0.7,40,22
3,24,2,16,1020.2,17.7,15.3,12.7,14.9,98,99,33.4,0,-,1.51,0.5,70,42
3,25,2,17,1023.9,15.7,13.7,11.6,9.2,75,88,1.4,0,0.2,7.06,0.7,20,19.4
3,26,2,18,1023.6,20.2,15.8,12.6,9.8,68,22,-,0,11.1,25.62,4.4,70,13.4
3,27,2,19,1024.1,22.4,17.3,14.6,8.4,58,19,-,0,11.1,24.95,4.2,30,14.6
3,28,2,20,1024.1,19.9,16.9,15.2,10,65,58,-,0,5.6,17.91,4.1,60,26.9
3,29,2,21,1021.4,19.4,17.7,15.7,9.6,59,74,Trace,0,2.4,11.71,3.4,50,20.5
3,30,2,22,1018.3,22.2,20,18.4,16.3,79,89,Trace,16,2.4,10.16,1.2,40,14.8
3,31,2,23,1015.3,25.5,21.5,19.1,18.9,86,83,-,11,6.1,16.57,3.4,50,4.5
4,1,2,24,1014.5,25.3,21.9,19.9,19.5,86,83,-,3,3.6,13.21,2.9,50,8.3
4,2,2,25,1015.6,23.8,21.3,19.8,19.6,90,81,Trace,0,1.5,9.82,1.6,40,14.5
4,3,2,26,1014.6,26.5,23,21,20.7,87,88,-,0,2.3,13.05,2.1,50,9.2
4,4,2,27,1012.5,28.1,23.6,20.7,21.4,88,84,4.3,0,2.2,11.74,2.1,120,8
4,5,2,28,1013.3,24.4,22.3,20.7,20.8,91,78,Trace,0,1,10.65,2.3,40,14.8
4,6,2,29,1013.3,26.5,23.1,21.5,21.6,91,83,-,0,6.9,18.81,3.4,70,20
4,7,3,1,1013.2,26.9,23.9,22.4,22.3,91,84,-,1,1.8,12.34,2.1,40,10
4,8,3,2,1013.3,27.9,25.3,23.2,22.9,87,84,Trace,1,2.5,12.66,2.9,40,9.1
4,9,3,3,1011.6,27.5,25.7,24.4,23.2,86,88,Trace,0,1.2,8.31,3.9,200,17.3
4,10,3,4,1009.2,26.3,23.3,21.3,21.9,92,93,22.1,0,-,2.73,1.4,190,20.5
4,11,3,5,1010.1,22.8,21.5,20.1,19.9,91,89,0.4,0,-,4.26,1.5,70,31.8
4,12,3,6,1009.1,21.3,20.3,19.9,19.3,94,88,11.4,0,-,2.69,N.A.,70,29.8
4,13,3,7,1005.5,25.1,21.8,20.9,21.6,98,93,76.4,0,-,0.97,1.3,40,14.5
4,14,3,8,1008.5,25.2,23.1,21.6,22.8,98,88,0.7,0,-,1.5,N.A.,30,11.2
4,15,3,9,1011.4,23.5,21.1,20.6,20.6,97,88,3.4,2,-,1.86,1.4,30,20
4,16,3,10,1010.5,28.1,24.7,20.6,22.7,89,81,Trace,0,3.5,12.61,2.1,210,15.3
4,17,3,11,1010.9,27.5,25.9,24.1,24.2,90,86,Trace,0,1.1,9.14,4.2,190,16
4,18,3,12,1014.4,26.7,23.1,20.1,20.8,87,81,23.7,1,1.2,8.85,2.8,80,19.6
4,19,3,13,1017.4,21.8,20.5,20.1,18.1,86,88,Trace,0,-,4.36,1.7,70,35.3
4,20,3,14,1014.6,22.9,21.6,20.2,19.5,88,89,Trace,1,0.2,9.26,1.4,40,20.8
4,21,3,15,1012.5,28.4,24.6,22,22.3,87,80,Trace,0,4.8,17.75,3,30,7.3
4,22,3,16,1010.7,26.1,23.7,21,22,90,81,8.3,0,1,7.96,1.7,300,11.1
4,23,3,17,1008.2,27.7,24.9,22.6,22.8,88,81,2.8,0,0.3,7.59,1.2,240,13
4,24,3,18,1008.7,26.1,24.4,23.2,23.2,93,84,41.4,0,1.4,6.85,3.2,190,8.5
4,25,3,19,1009.8,28.4,26,23.9,24.3,90,83,12.4,0,3.1,12.33,1.2,180,12.9
4,26,3,20,1009.5,28.5,27.2,26,24.5,86,87,Trace,0,1.3,9.17,2.6,200,24.1
4,27,3,21,1008.2,29.1,26.8,25.4,24,85,83,0.9,6,3.6,13.29,4.1,230,20.2
4,28,3,22,1010.4,28.2,26,24.7,23,84,78,1.7,0,4.6,12.34,3.4,50,12.5
4,29,3,23,1013.9,26.3,24.1,22.9,19.6,76,68,Trace,0,6,18.27,4.2,90,30.5
4,30,3,24,1012.2,23.4,22.5,20.8,18.7,80,89,1.5,1,0.3,7.39,1.8,60,27
5,1,3,25,1011.5,23.4,22.2,20.4,20.9,92,90,3.1,2,0.5,12.76,1.3,50,23.7
5,2,3,26,1011,29.8,25.6,22.8,23.6,89,82,0.3,2,2,12.24,4.2,50,11.1
5,3,3,27,1011.4,30.8,26.5,22.8,23.9,86,84,30.7,0,3.1,14.16,4.5,220,11.8
5,4,3,28,1011.4,28.2,25.8,23.2,23.4,87,82,Trace,0,2.7,13.32,1.5,40,9.2
5,5,3,29,1010.5,30.9,28.1,26.2,25.1,84,85,-,0,2,13.21,3.1,180,15.4
5,6,3,30,1009.9,30.5,28.4,27.2,25.3,83,84,-,0,2.9,14.04,1.2,190,15.5
5,7,4,1,1010.6,31,28.7,27.1,25.1,81,69,-,0,4.7,16.31,6.1,170,12.1
5,8,4,2,1011.4,31.2,28.7,27.3,25.2,82,80,-,0,3.8,16.11,2.8,150,9.5
5,9,4,3,1010.1,30.6,28.7,26.9,25,81,69,-,0,3.9,14.85,3.7,170,16.3
5,10,4,4,1008.1,28.4,26.6,23.7,24.3,87,84,60.3,0,0.3,2.74,N.A.,220,12
5,11,4,5,1008.6,28.8,25.5,23.4,20.6,75,62,-,0,8.8,23.96,5.4,80,26
5,12,4,6,1009.8,27.6,25.1,23.7,21.4,80,78,Trace,3,5,19.2,4.7,70,28.6
5,13,4,7,1012.4,27.8,25.5,24.4,22.2,82,88,Trace,2,1.2,13.35,1.6,50,24.9
5,14,4,8,1014.2,27.7,25.4,24,23.4,89,86,4.7,1,2.8,9.13,4.8,70,28.3
5,15,4,9,1012.1,29.8,26.6,24.4,23.7,85,75,1,0,7.7,21.85,4.3,50,15.7
5,16,4,10,1011.2,27.1,24.8,22.5,19.4,73,69,0.3,0,7.2,18.54,5,10,21.9
5,17,4,11,1012.3,24.6,23.7,23.2,20.1,80,86,1.2,0,0.3,8.48,3.2,80,39.5
5,18,4,12,1012,26.3,24.5,23.4,19.9,76,79,-,0,4.8,19.7,3.7,70,30.3
5,19,4,13,1009.9,28.1,25.5,24,22.5,84,85,Trace,0,3.5,17.86,3.4,70,26.4
5,20,4,14,1006.9,26.2,25.2,24.3,24.2,94,88,16.1,0,0.1,4.28,N.A.,40,22.3
5,21,4,15,1005.9,28.3,26.5,24.7,24.3,88,77,37.6,0,1.9,8.71,6,230,25.9
5,22,4,16,1007.8,30.8,27.2,25.3,22.7,77,63,-,0,5.6,17.33,0.3,20,11.3
5,23,4,17,1008.4,28.9,26.8,24.8,23.2,81,65,Trace,0,6.4,15.57,3.5,20,7.9
5,24,4,18,1007.9,30.7,27.5,25.4,24.1,82,61,Trace,0,7.6,18.81,3.7,180,7.4
5,25,4,19,1007.8,30.9,28,26.2,24.7,82,62,Trace,0,8.8,23.44,5.1,100,16.2
5,26,4,20,1007.6,29.5,27.6,26.7,24.8,85,84,0.1,0,1.8,10.39,2.5,70,34.8
5,27,4,21,1006.4,29.1,27.5,26,25.5,89,88,14.4,0,1.2,10.73,4,130,32.5
5,28,4,22,1007.6,30.3,27.7,24.5,25.6,89,89,62.9,0,1.2,6.53,N.A.,200,24
5,29,4,23,1007.9,31,29.1,27.2,26.1,84,77,0.8,0,3.6,14.33,3.3,210,19
5,30,4,24,1008.8,32.1,29.8,28,26,80,73,0.1,0,9.8,25.14,6,220,22.8
5,31,4,25,1009.5,31.8,29.9,28.7,25.7,79,72,-,0,7,21.04,6.1,220,25.2
6,1,4,26,1007.8,32.8,30.1,28.6,26.2,80,73,-,1,7.2,22.64,5.1,230,31.7
6,2,4,27,1006,33,30.3,28.7,26.3,79,58,-,0,10,26.77,7.1,230,27.4
6,3,4,28,1006.5,32.4,30.3,29,26.5,80,77,Trace,0,5.2,18.63,3,220,28.8
6,4,4,29,1007.9,33.8,28.7,24.7,25.4,83,75,12.4,0,5.5,18.07,6.9,220,20.8
6,5,5,1,1008.8,30.4,26.9,25,24.3,86,87,7.6,0,0.7,11.06,N.A.,20,9.8
6,6,5,2,1008.8,29.1,26.2,24.8,24.7,91,80,77.6,0,2.2,6.94,1.8,20,11.2
6,7,5,3,1008.1,30.7,28.1,26.3,25.4,86,75,0.4,0,5.7,17.09,2.9,20,9.5
6,8,5,4,1006.3,30,27.1,24.1,25.1,89,85,46.5,0,3.1,15.13,3.9,120,11.3
6,9,5,5,1005.7,31.7,28.2,26.6,25.7,86,79,Trace,0,6.5,20.19,3.1,120,13
6,10,5,6,1005.7,31.1,27.9,26.6,25.8,89,80,9.1,0,4.5,15.16,N.A.,130,12.4
6,11,5,7,1005.9,27.8,26.6,25.4,25.4,93,85,85.5,0,-,1.88,N.A.,230,20
6,12,5,8,1005.7,29.2,27.1,25.4,25.8,93,96,28.2,0,-,1.74,0.2,220,29.6
6,13,5,9,1005,31.5,29.7,28.5,26.7,84,90,0.1,0,1.3,11.78,3,220,24
6,14,5,10,1004.2,31.7,30.2,29.2,26.6,81,88,Trace,0,2.4,15.91,3.6,220,30
6,15,5,11,1005.3,32,30.3,29.3,26.3,79,86,0.6,0,1.6,11.69,3.5,210,29.5
6,16,5,12,1006.7,31.4,29.4,28.2,25.9,82,88,2.8,0,1.6,12.59,3.1,230,22.3
6,17,5,13,1008.2,32.1,29.4,26.7,25.9,82,85,2.5,0,7.2,19.66,4.2,220,12.8
6,18,5,14,1010.5,30.8,29.3,27.7,26,83,81,13.1,0,2.3,9.65,3.8,200,19.8
6,19,5,15,1010.3,34.2,30.1,27.8,26.1,80,41,-,0,12,28.18,6.1,130,12.4
6,20,5,16,1008.5,34.4,30.8,28.6,26.3,78,59,Trace,0,9.1,24.71,5.8,170,12
6,21,5,17,1009.3,33.7,30.6,28.7,25.6,75,51,-,0,10,23.49,5.9,200,12.4
6,22,5,18,1009.5,33.7,30.5,28.5,25.3,75,32,-,0,9.3,23.86,5.5,220,10.9
6,23,5,19,1008.4,34.1,30.4,28.4,24.7,72,20,-,0,11.4,27.73,6.4,210,9.6
6,24,5,20,1008.1,35.2,31,28.8,25,72,38,-,0,11.2,27.24,6,180,9
6,25,5,21,1008.9,35.5,31.4,28.9,26.1,74,39,-,0,10.6,25.31,7.1,150,9.1
6,26,5,22,1009.1,35.1,31.3,29.4,26.3,75,57,Trace,0,9.9,24.23,4.8,160,11.9
6,27,5,23,1007.5,35.1,31.1,28.6,26.7,78,61,1.7,0,8.6,24.14,6.3,60,15.6
6,28,5,24,1007.5,32.3,29.1,26.3,26.3,85,83,37.1,0,4.2,14.76,3.8,220,26.1
6,29,5,25,1010,33.3,29,27.5,26.7,87,79,20.4,0,3.9,16.3,4,160,23.4
6,30,5,26,1010.3,33.1,30,27.8,26,80,83,1.8,0,6.3,17.97,2.5,190,24.4
7,1,5,27,1008.9,33,30.1,27.7,26,79,78,3.4,0,5.3,17.72,4.6,190,21.9
7,2,5,28,1009.1,32,29.4,26.9,26,82,86,20.8,0,2.7,14.02,3.2,200,21.9
7,3,5,29,1008.7,31.5,29.4,27.3,25.8,82,84,2.7,0,1.8,11.12,2.4,190,25.1
7,4,6,1,1006.6,33,30.1,28,25.9,78,83,3.8,0,6.8,20.99,4.8,180,33
7,5,6,2,1007.5,32.6,29,25.8,26.5,87,88,9.8,0,5.4,18.68,1.9,120,22.8
7,6,6,3,1008.4,28.8,27.3,24.7,26,93,88,33.6,0,0.5,5.39,2.1,40,17.8
7,7,6,4,1005.9,34,30.2,27.9,25.6,77,53,Trace,0,10.5,23.57,5.4,60,13
7,8,6,5,1001,34.2,31,28.1,25.9,75,46,-,2,10.4,22.57,5.9,280,23.5
7,9,6,6,999,35.6,31.5,26.4,26.4,75,57,10.3,0,10,22.78,9,280,25
7,10,6,7,1000.3,31.3,28.6,26.2,25,81,88,1.7,0,2.5,12.74,5.6,240,18.8
7,11,6,8,1002.2,31.1,28.9,26.1,26.1,85,89,11.7,0,2.4,11.26,2.7,240,19.8
7,12,6,9,1003.8,29,28.1,27,25.1,84,88,0.1,0,-,6.58,1.8,230,16.3
7,13,6,10,1005,31.7,28.6,25.6,26.1,87,82,35.2,0,2.2,11.79,2.2,160,12.5
7,14,6,11,1006.8,30.3,28.9,26.4,26.2,86,83,10.2,0,0.2,6.14,2.2,230,14.3
7,15,6,12,1007,33,30.2,28.6,26.4,81,78,1,0,6.2,19.03,3.9,230,22.8
7,16,6,13,1008.1,33.2,30.6,29,26.4,79,69,0.3,0,8.5,23.85,6.6,240,25.1
7,17,6,14,1008.5,33.2,30.6,29,26.2,78,69,-,0,9.2,23.59,6.6,230,23.4
7,18,6,15,1007.5,32.4,30.4,28.7,25.3,74,72,0.6,0,10.1,24.07,6.3,230,23.7
7,19,6,16,1007.9,32.3,29.9,26.7,25.8,79,78,4.4,0,4.1,16.7,3.2,220,25.3
7,20,6,17,1009.8,31.9,29.2,25.6,25.6,82,70,16.8,0,6.4,20.06,2.4,220,22.7
7,21,6,18,1010.9,33.3,30,27.5,25.3,76,49,0.3,0,8.8,24,6.3,220,12.3
7,22,6,19,1010.3,32.9,30,28.1,25.2,76,29,-,0,11.4,27.42,7.1,240,14.7
7,23,6,20,1008.9,32.8,30,28,25.4,77,32,-,0,11.9,27.84,6,250,21.5
7,24,6,21,1008.4,34,30.4,28,24.6,72,21,-,0,12.1,27.72,7.9,240,16
7,25,6,22,1008.6,35,30.8,28.3,25.5,74,28,-,0,11,25.08,6.1,140,8.3
7,26,6,23,1008.3,32,29.4,27,26.4,84,57,8,0,7.4,22.06,4.9,60,17.5
7,27,6,24,1009.3,33.4,30.2,28,25.3,76,44,Trace,0,10.1,23.29,5.5,200,9.6
7,28,6,25,1009.7,32.9,30.1,28.1,24.8,74,29,-,0,11.8,27.42,7.8,240,13
7,29,6,26,1008.5,33.7,30.3,27.6,24.9,74,32,-,0,11.8,26.61,5.9,260,22.3
7,30,6,27,1006.6,33.5,29.9,28.7,24.7,74,49,Trace,0,6.3,15.47,4.5,270,16.1
7,31,6,28,1005.1,33.9,30.1,27,24.9,74,47,1.2,0,10.4,24.9,5.6,50,14.1
8,1,6,29,998.8,31.6,29.5,26.8,24.9,76,85,4.6,2,1.9,9.19,N.A.,290,21.3
8,2,6,30,995.9,29.5,27.1,25.1,25,88,93,121,0,0.9,7.57,0.9,190,52.3
8,3,7,1,1006.3,27.8,26.8,26.1,25.5,93,86,17.3,0,0.2,6.95,3.2,120,14.3
8,4,7,2,1008.7,28.6,26.9,26.1,26,94,82,20.9,0,0.8,6.43,2.9,60,23.4
8,5,7,3,1008.3,32.3,29.3,27,26,83,58,Trace,0,8.5,22.66,4.6,50,11.1
8,6,7,4,1005,33.2,30,27.4,25.4,77,36,-,0,11.3,25.59,6.2,250,20.4
8,7,7,5,1002.8,33.4,30.4,28.2,26.4,80,61,-,0,9.7,23.29,5.2,250,22.3
8,8,7,6,1003,33.4,30.5,28.6,26.3,79,83,-,0,8.2,21.84,5.4,240,17.9
8,9,7,7,1001.8,32.7,29.2,26.1,26.1,83,83,33.5,0,4.5,10.16,N.A.,260,10.9
8,10,7,8,1002.6,29.3,26.7,24.7,25.1,91,90,39.8,0,0.8,4.95,1.1,70,8
8,11,7,9,1003.2,29.9,27.2,25.2,24.8,87,85,42.1,0,3.1,8.3,0.9,240,9
8,12,7,10,1001.3,29.4,28.1,26.9,25.5,86,86,0.4,0,0.4,10.05,1.3,250,11
8,13,7,11,999.8,32.3,28.8,27.1,25.9,84,71,Trace,0,9,22.25,4.8,70,12
8,14,7,12,998.3,29.4,27.3,25.8,25.4,90,89,25.7,0,0.7,10.34,3.7,60,26.7
8,15,7,13,997.4,28.4,26.6,25.6,25.3,93,88,19.1,0,0.5,7.88,2.1,40,16.5
8,16,7,14,996,26.9,26.2,25.5,25.4,96,88,49.9,0,-,3.67,0.7,100,19.3
8,17,7,15,993.7,28,26.5,25.3,25.8,96,89,40.9,0,0.8,7.86,5.4,80,32.9
8,18,7,16,996.3,28.7,27,25.9,25.9,94,88,50.9,0,1.3,9.67,1.4,120,34.2
8,19,7,17,1003,31.3,28.2,26.5,26.4,90,84,10.5,0,5.2,19.58,3.5,70,19.9
8,20,7,18,1004.7,32.4,29.2,27.4,26.8,88,74,3.8,0,4.9,14.63,7.7,240,6.8
8,21,7,19,1003.2,31.2,27.4,24.5,25,87,58,39.9,0,5.2,14.51,4.8,230,12
8,22,7,20,1004.7,33,29.3,27.3,25.8,82,27,-,0,10,24.58,5.3,70,14.7
8,23,7,21,1004.8,33.4,29.7,27.2,24.3,74,19,-,0,10.6,23.03,5.2,90,5
8,24,7,22,1003.8,33.5,30.1,27.9,25,75,42,-,0,11,24.02,4.6,70,10.9
8,25,7,23,1004.2,34.4,30.4,28.1,25.8,77,34,-,0,10.7,23.68,6.4,60,11.7
8,26,7,24,1004.6,33.6,30.4,28.1,24.7,72,34,-,0,10.6,23.84,6.8,220,10.9
8,27,7,25,1006.4,33.2,29.7,27,25.6,79,74,3.5,1,6.2,15.55,4.4,80,8.3
8,28,7,26,1006.4,31,27.6,25.4,24.1,82,82,8.7,4,1.1,10.05,4.2,10,19.9
8,29,7,27,1007.2,28,26.7,26.2,22,76,87,Trace,0,0.9,6.53,2.1,50,27.1
8,30,7,28,1007.6,31.2,28,26.1,21.8,69,77,-,0,5,16.93,3.4,30,12
8,31,7,29,1006.3,31.5,28.6,26.6,24.2,78,84,0.2,0,4.5,17.15,6.4,210,8.8
9,1,8,1,1003.3,30,27.9,25.2,25.6,88,86,68.9,0,2.8,11.43,0.6,230,23.5
9,2,8,2,1002,31,28.7,27.5,26.1,86,88,6.1,0,0.5,6.83,2.3,230,19.7
9,3,8,3,1002.7,31.2,28.1,25.7,25.7,87,88,7,2,1.2,9.61,6.1,230,10.9
9,4,8,4,1005.2,30.1,28.2,27,25.3,84,88,Trace,2,3.1,16.03,3.4,70,28.1
9,5,8,5,1006.1,29.2,27.1,25.8,25.1,89,86,75.3,0,0.4,4.33,N.A.,50,30
9,6,8,6,1006.7,27.7,26.7,25.7,25,90,86,10.8,0,0.7,6.22,0.9,50,7.3
9,7,8,7,1007.5,28,26.5,25.4,24.8,90,91,20.4,0,-,4,1.4,230,16.1
9,8,8,8,1008,28.4,27.1,25.5,25.2,90,84,2.8,0,0.2,7.45,1.5,230,8.8
